------------------------------------------------------------------------------------------------------------------------------------------------------
PID                 Executed Processing Time      PC                  State               I/O                 CPU                 Transition
8                   10                            11                  RUNNING             1                   2                   READY -> RUNNING
8                   33                            34                  WAITING             2                   2                   RUNNING -> WAITING
9                   2                             3                   READY               1                   1                   WAITING -> READY
0                   66                            67                  RUNNING             1                   2                   READY -> RUNNING
0                   134                           135                 WAITING             2                   2                   RUNNING -> WAITING
1                   5                             6                   RUNNING             1                   2                   READY -> RUNNING
1                   36                            37                  WAITING             2                   2                   RUNNING -> WAITING
2                   10                            11                  WAITING             2                   2                   WAITING -> WAITING
3                   32                            33                  WAITING             1                   1                   WAITING -> WAITING
4                   9                             10                  WAITING             1                   1                   WAITING -> WAITING
5                   13                            14                  RUNNING             1                   2                   READY -> RUNNING
5                   34                            35                  WAITING             2                   2                   RUNNING -> WAITING
6                   11                            12                  READY               2                   2                   WAITING -> READY
7                   23                            24                  RUNNING             1                   2                   READY -> RUNNING
7                   54                            55                  WAITING             2                   2                   RUNNING -> WAITING
8                   33                            34                  READY               2                   2                   WAITING -> READY
9                   2                             3                   RUNNING             1                   2                   READY -> RUNNING
9                   24                            25                  WAITING             2                   2                   RUNNING -> WAITING
0                   134                           135                 WAITING             2                   2                   WAITING -> WAITING
1                   36                            37                  READY               2                   2                   WAITING -> READY
2                   10                            11                  WAITING             2                   2                   WAITING -> WAITING
3                   32                            33                  WAITING             1                   1                   WAITING -> WAITING
4                   9                             10                  WAITING             1                   1                   WAITING -> WAITING
5                   34                            35                  READY               2                   2                   WAITING -> READY
6                   11                            12                  RUNNING             2                   3                   READY -> RUNNING
6                   66                            67                  WAITING             3                   3                   RUNNING -> WAITING
7                   54                            55                  WAITING             2                   2                   WAITING -> WAITING
8                   33                            34                  RUNNING             2                   3                   READY -> RUNNING
8                   37                            38                  WAITING             3                   3                   RUNNING -> WAITING
9                   24                            25                  READY               2                   2                   WAITING -> READY
0                   134                           135                 WAITING             2                   2                   WAITING -> WAITING
1                   36                            37                  RUNNING             2                   3                   READY -> RUNNING
1                   44                            45                  WAITING             3                   3                   RUNNING -> WAITING
2                   10                            11                  WAITING             2                   2                   WAITING -> WAITING
3                   32                            33                  WAITING             1                   1                   WAITING -> WAITING
4                   9                             10                  READY               1                   1                   WAITING -> READY
5                   34                            35                  RUNNING             2                   3                   READY -> RUNNING
5                   61                            62                  WAITING             3                   3                   RUNNING -> WAITING
6                   66                            67                  WAITING             3                   3                   WAITING -> WAITING
7                   54                            55                  WAITING             2                   2                   WAITING -> WAITING
8                   37                            38                  WAITING             3                   3                   WAITING -> WAITING
9                   24                            25                  RUNNING             2                   3                   READY -> RUNNING
9                   29                            30                  WAITING             3                   3                   RUNNING -> WAITING
0                   134                           135                 WAITING             2                   2                   WAITING -> WAITING
1                   44                            45                  WAITING             3                   3                   WAITING -> WAITING
2                   10                            11                  WAITING             2                   2                   WAITING -> WAITING
3                   32                            33                  WAITING             1                   1                   WAITING -> WAITING
4                   9                             10                  RUNNING             1                   2                   READY -> RUNNING
4                   17                            18                  WAITING             2                   2                   RUNNING -> WAITING
5                   61                            62                  WAITING             3                   3                   WAITING -> WAITING
6                   66                            67                  WAITING             3                   3                   WAITING -> WAITING
7                   54                            55                  WAITING             2                   2                   WAITING -> WAITING
8                   37                            38                  READY               3                   3                   WAITING -> READY
9                   29                            30                  WAITING             3                   3                   WAITING -> WAITING
0                   134                           135                 WAITING             2                   2                   WAITING -> WAITING
1                   44                            45                  WAITING             3                   3                   WAITING -> WAITING
2                   10                            11                  WAITING             2                   2                   WAITING -> WAITING
3                   32                            33                  WAITING             1                   1                   WAITING -> WAITING
4                   17                            18                  READY               2                   2                   WAITING -> READY
5                   61                            62                  WAITING             3                   3                   WAITING -> WAITING
6                   66                            67                  WAITING             3                   3                   WAITING -> WAITING
7                   54                            55                  WAITING             2                   2                   WAITING -> WAITING
8                   37                            38                  RUNNING             3                   4                   READY -> RUNNING
8                   42                            43                  WAITING             4                   4                   RUNNING -> WAITING
9                   29                            30                  WAITING             3                   3                   WAITING -> WAITING
0                   134                           135                 WAITING             2                   2                   WAITING -> WAITING
1                   44                            45                  WAITING             3                   3                   WAITING -> WAITING
2                   10                            11                  READY               2                   2                   WAITING -> READY
3                   32                            33                  READY               1                   1                   WAITING -> READY
4                   17                            18                  RUNNING             2                   3                   READY -> RUNNING
4                   23                            24                  WAITING             3                   3                   RUNNING -> WAITING
5                   61                            62                  WAITING             3                   3                   WAITING -> WAITING
6                   66                            67                  WAITING             3                   3                   WAITING -> WAITING
7                   54                            55                  READY               2                   2                   WAITING -> READY
8                   42                            43                  WAITING             4                   4                   WAITING -> WAITING
9                   29                            30                  WAITING             3                   3                   WAITING -> WAITING
0                   134                           135                 WAITING             2                   2                   WAITING -> WAITING
1                   44                            45                  WAITING             3                   3                   WAITING -> WAITING
2                   10                            11                  RUNNING             2                   3                   READY -> RUNNING
2                   15                            16                  WAITING             3                   3                   RUNNING -> WAITING
3                   32                            33                  RUNNING             1                   2                   READY -> RUNNING
3                   74                            75                  WAITING             2                   2                   RUNNING -> WAITING
4                   23                            24                  WAITING             3                   3                   WAITING -> WAITING
5                   61                            62                  READY               3                   3                   WAITING -> READY
6                   66                            67                  WAITING             3                   3                   WAITING -> WAITING
7                   54                            55                  RUNNING             2                   3                   READY -> RUNNING
7                   73                            74                  WAITING             3                   3                   RUNNING -> WAITING
8                   42                            43                  READY               4                   4                   WAITING -> READY
9                   29                            30                  WAITING             3                   3                   WAITING -> WAITING
0                   134                           135                 READY               2                   2                   WAITING -> READY
1                   44                            45                  WAITING             3                   3                   WAITING -> WAITING
2                   15                            16                  READY               3                   3                   WAITING -> READY
3                   74                            75                  WAITING             2                   2                   WAITING -> WAITING
4                   23                            24                  READY               3                   3                   WAITING -> READY
5                   61                            62                  RUNNING             3                   4                   READY -> RUNNING
5                   64                            65                  WAITING             4                   4                   RUNNING -> WAITING
6                   66                            67                  WAITING             3                   3                   WAITING -> WAITING
7                   73                            74                  WAITING             3                   3                   WAITING -> WAITING
8                   42                            43                  RUNNING             4                   5                   READY -> RUNNING
8                   58                            59                  WAITING             5                   5                   RUNNING -> WAITING
9                   29                            30                  WAITING             3                   3                   WAITING -> WAITING
0                   134                           135                 RUNNING             2                   3                   READY -> RUNNING
0                   144                           145                 WAITING             3                   3                   RUNNING -> WAITING
1                   44                            45                  WAITING             3                   3                   WAITING -> WAITING
2                   15                            16                  RUNNING             3                   4                   READY -> RUNNING
2                   72                            73                  WAITING             4                   4                   RUNNING -> WAITING
3                   74                            75                  READY               2                   2                   WAITING -> READY
4                   23                            24                  RUNNING             3                   4                   READY -> RUNNING
4                   60                            61                  WAITING             4                   4                   RUNNING -> WAITING
5                   64                            65                  READY               4                   4                   WAITING -> READY
6                   66                            67                  WAITING             3                   3                   WAITING -> WAITING
7                   73                            74                  READY               3                   3                   WAITING -> READY
8                   58                            59                  READY               5                   5                   WAITING -> READY
9                   29                            30                  WAITING             3                   3                   WAITING -> WAITING
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   44                            45                  READY               3                   3                   WAITING -> READY
2                   72                            73                  WAITING             4                   4                   WAITING -> WAITING
3                   74                            75                  RUNNING             2                   3                   READY -> RUNNING
3                   135                           136                 WAITING             3                   3                   RUNNING -> WAITING
4                   60                            61                  WAITING             4                   4                   WAITING -> WAITING
5                   64                            65                  RUNNING             4                   5                   READY -> RUNNING
5                   76                            77                  WAITING             5                   5                   RUNNING -> WAITING
6                   66                            67                  READY               3                   3                   WAITING -> READY
7                   73                            74                  RUNNING             3                   4                   READY -> RUNNING
7                   144                           145                 WAITING             4                   4                   RUNNING -> WAITING
8                   58                            59                  RUNNING             5                   6                   READY -> RUNNING
8                   63                            64                  WAITING             6                   6                   RUNNING -> WAITING
9                   29                            30                  WAITING             3                   3                   WAITING -> WAITING
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   44                            45                  RUNNING             3                   4                   READY -> RUNNING
1                   45                            46                  WAITING             4                   4                   RUNNING -> WAITING
2                   72                            73                  WAITING             4                   4                   WAITING -> WAITING
3                   135                           136                 WAITING             3                   3                   WAITING -> WAITING
4                   60                            61                  WAITING             4                   4                   WAITING -> WAITING
5                   76                            77                  WAITING             5                   5                   WAITING -> WAITING
6                   66                            67                  RUNNING             3                   4                   READY -> RUNNING
6                   109                           110                 WAITING             4                   4                   RUNNING -> WAITING
7                   144                           145                 WAITING             4                   4                   WAITING -> WAITING
8                   63                            64                  WAITING             6                   6                   WAITING -> WAITING
9                   29                            30                  READY               3                   3                   WAITING -> READY
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   45                            46                  WAITING             4                   4                   WAITING -> WAITING
2                   72                            73                  READY               4                   4                   WAITING -> READY
3                   135                           136                 WAITING             3                   3                   WAITING -> WAITING
4                   60                            61                  WAITING             4                   4                   WAITING -> WAITING
5                   76                            77                  WAITING             5                   5                   WAITING -> WAITING
6                   109                           110                 WAITING             4                   4                   WAITING -> WAITING
7                   144                           145                 WAITING             4                   4                   WAITING -> WAITING
8                   63                            64                  WAITING             6                   6                   WAITING -> WAITING
9                   29                            30                  RUNNING             3                   4                   READY -> RUNNING
9                   80                            81                  WAITING             4                   4                   RUNNING -> WAITING
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   45                            46                  READY               4                   4                   WAITING -> READY
2                   72                            73                  RUNNING             4                   5                   READY -> RUNNING
2                   148                           149                 WAITING             5                   5                   RUNNING -> WAITING
3                   135                           136                 WAITING             3                   3                   WAITING -> WAITING
4                   60                            61                  WAITING             4                   4                   WAITING -> WAITING
5                   76                            77                  WAITING             5                   5                   WAITING -> WAITING
6                   109                           110                 WAITING             4                   4                   WAITING -> WAITING
7                   144                           145                 WAITING             4                   4                   WAITING -> WAITING
8                   63                            64                  READY               6                   6                   WAITING -> READY
9                   80                            81                  READY               4                   4                   WAITING -> READY
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   45                            46                  RUNNING             4                   5                   READY -> RUNNING
1                   53                            54                  WAITING             5                   5                   RUNNING -> WAITING
2                   148                           149                 WAITING             5                   5                   WAITING -> WAITING
3                   135                           136                 WAITING             3                   3                   WAITING -> WAITING
4                   60                            61                  WAITING             4                   4                   WAITING -> WAITING
5                   76                            77                  READY               5                   5                   WAITING -> READY
6                   109                           110                 WAITING             4                   4                   WAITING -> WAITING
7                   144                           145                 WAITING             4                   4                   WAITING -> WAITING
8                   63                            64                  RUNNING             6                   7                   READY -> RUNNING
8                   67                            68                  WAITING             7                   7                   RUNNING -> WAITING
9                   80                            81                  RUNNING             4                   5                   READY -> RUNNING
9                   101                           102                 WAITING             5                   5                   RUNNING -> WAITING
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   53                            54                  READY               5                   5                   WAITING -> READY
2                   148                           149                 WAITING             5                   5                   WAITING -> WAITING
3                   135                           136                 READY               3                   3                   WAITING -> READY
4                   60                            61                  WAITING             4                   4                   WAITING -> WAITING
5                   76                            77                  RUNNING             5                   6                   READY -> RUNNING
5                   86                            87                  WAITING             6                   6                   RUNNING -> WAITING
6                   109                           110                 WAITING             4                   4                   WAITING -> WAITING
7                   144                           145                 READY               4                   4                   WAITING -> READY
8                   67                            68                  READY               7                   7                   WAITING -> READY
9                   101                           102                 WAITING             5                   5                   WAITING -> WAITING
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   53                            54                  RUNNING             5                   6                   READY -> RUNNING
1                   84                            85                  WAITING             6                   6                   RUNNING -> WAITING
2                   148                           149                 READY               5                   5                   WAITING -> READY
3                   135                           136                 RUNNING             3                   4                   READY -> RUNNING
3                   188                           189                 WAITING             4                   4                   RUNNING -> WAITING
4                   60                            61                  READY               4                   4                   WAITING -> READY
5                   86                            87                  WAITING             6                   6                   WAITING -> WAITING
6                   109                           110                 READY               4                   4                   WAITING -> READY
7                   144                           145                 RUNNING             4                   5                   READY -> RUNNING
7                   180                           181                 WAITING             5                   5                   RUNNING -> WAITING
8                   67                            68                  RUNNING             7                   8                   READY -> RUNNING
8                   84                            85                  WAITING             8                   8                   RUNNING -> WAITING
9                   101                           102                 WAITING             5                   5                   WAITING -> WAITING
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   84                            85                  READY               6                   6                   WAITING -> READY
2                   148                           149                 RUNNING             5                   6                   READY -> RUNNING
2                   162                           163                 WAITING             6                   6                   RUNNING -> WAITING
3                   188                           189                 READY               4                   4                   WAITING -> READY
4                   60                            61                  RUNNING             4                   5                   READY -> RUNNING
4                   94                            95                  WAITING             5                   5                   RUNNING -> WAITING
5                   86                            87                  WAITING             6                   6                   WAITING -> WAITING
6                   109                           110                 RUNNING             4                   5                   READY -> RUNNING
6                   113                           114                 WAITING             5                   5                   RUNNING -> WAITING
7                   180                           181                 WAITING             5                   5                   WAITING -> WAITING
8                   84                            85                  WAITING             8                   8                   WAITING -> WAITING
9                   101                           102                 WAITING             5                   5                   WAITING -> WAITING
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   84                            85                  RUNNING             6                   7                   READY -> RUNNING
1                   113                           114                 WAITING             7                   7                   RUNNING -> WAITING
2                   162                           163                 WAITING             6                   6                   WAITING -> WAITING
3                   188                           189                 RUNNING             4                   5                   READY -> RUNNING
3                   197                           198                 WAITING             5                   5                   RUNNING -> WAITING
4                   94                            95                  WAITING             5                   5                   WAITING -> WAITING
5                   86                            87                  WAITING             6                   6                   WAITING -> WAITING
6                   113                           114                 WAITING             5                   5                   WAITING -> WAITING
7                   180                           181                 WAITING             5                   5                   WAITING -> WAITING
8                   84                            85                  WAITING             8                   8                   WAITING -> WAITING
9                   101                           102                 READY               5                   5                   WAITING -> READY
0                   144                           145                 WAITING             3                   3                   WAITING -> WAITING
1                   113                           114                 WAITING             7                   7                   WAITING -> WAITING
2                   162                           163                 WAITING             6                   6                   WAITING -> WAITING
3                   197                           198                 WAITING             5                   5                   WAITING -> WAITING
4                   94                            95                  READY               5                   5                   WAITING -> READY
5                   86                            87                  WAITING             6                   6                   WAITING -> WAITING
6                   113                           114                 WAITING             5                   5                   WAITING -> WAITING
7                   180                           181                 WAITING             5                   5                   WAITING -> WAITING
8                   84                            85                  WAITING             8                   8                   WAITING -> WAITING
9                   101                           102                 RUNNING             5                   6                   READY -> RUNNING
9                   110                           111                 WAITING             6                   6                   RUNNING -> WAITING
0                   144                           145                 READY               3                   3                   WAITING -> READY
1                   113                           114                 WAITING             7                   7                   WAITING -> WAITING
2                   162                           163                 WAITING             6                   6                   WAITING -> WAITING
3                   197                           198                 READY               5                   5                   WAITING -> READY
4                   94                            95                  RUNNING             5                   6                   READY -> RUNNING
4                   113                           114                 WAITING             6                   6                   RUNNING -> WAITING
5                   86                            87                  WAITING             6                   6                   WAITING -> WAITING
6                   113                           114                 WAITING             5                   5                   WAITING -> WAITING
7                   180                           181                 WAITING             5                   5                   WAITING -> WAITING
8                   84                            85                  WAITING             8                   8                   WAITING -> WAITING
9                   110                           111                 READY               6                   6                   WAITING -> READY
0                   144                           145                 RUNNING             3                   4                   READY -> RUNNING
0                   166                           167                 WAITING             4                   4                   RUNNING -> WAITING
1                   113                           114                 READY               7                   7                   WAITING -> READY
2                   162                           163                 WAITING             6                   6                   WAITING -> WAITING
3                   197                           198                 RUNNING             5                   6                   READY -> RUNNING
3                   214                           215                 WAITING             6                   6                   RUNNING -> WAITING
4                   113                           114                 WAITING             6                   6                   WAITING -> WAITING
5                   86                            87                  WAITING             6                   6                   WAITING -> WAITING
6                   113                           114                 WAITING             5                   5                   WAITING -> WAITING
7                   180                           181                 WAITING             5                   5                   WAITING -> WAITING
8                   84                            85                  WAITING             8                   8                   WAITING -> WAITING
9                   110                           111                 RUNNING             6                   7                   READY -> RUNNING
9                   130                           131                 WAITING             7                   7                   RUNNING -> WAITING
0                   166                           167                 READY               4                   4                   WAITING -> READY
1                   113                           114                 RUNNING             7                   8                   READY -> RUNNING
